Date_raw,Account,Category_raw,Subcategory,Note,INR,Income/Expense,Note.1,amount_raw,Currency,Account.1,Date,amount,Category,year,month,day_of_week,year_month,transaction_type,abs_amount
3/2/2022 10:11,CUB - online payment,Food,,Brownie,50.0,Expense,,50.0,INR,50.0,2022-02-03 10:11:00,-50.0,Food,2022,2,Thursday,2022-02,expense,50.0
3/2/2022 10:11,CUB - online payment,Other,,To lended people,300.0,Expense,,300.0,INR,300.0,2022-02-03 10:11:00,-300.0,Other,2022,2,Thursday,2022-02,expense,300.0
3/1/2022 19:50,CUB - online payment,Food,,Dinner,78.0,Expense,,78.0,INR,78.0,2022-01-03 19:50:00,-78.0,Food,2022,1,Monday,2022-01,expense,78.0
3/1/2022 18:56,CUB - online payment,Transportation,,Metro,30.0,Expense,,30.0,INR,30.0,2022-01-03 18:56:00,-30.0,Transportation,2022,1,Monday,2022-01,expense,30.0
3/1/2022 18:22,CUB - online payment,Food,,Snacks,67.0,Expense,,67.0,INR,67.0,2022-01-03 18:22:00,-67.0,Food,2022,1,Monday,2022-01,expense,67.0
3/1/2022 18:22,CUB - online payment,Other,,From vicky,100.0,Income,,100.0,INR,100.0,2022-01-03 18:22:00,100.0,Other,2022,1,Monday,2022-01,income,100.0
3/1/2022 18:21,CUB - online payment,Other,,From dad,500.0,Income,,500.0,INR,500.0,2022-01-03 18:21:00,500.0,Other,2022,1,Monday,2022-01,income,500.0
2/12/2022 21:20,CUB - online payment,Food,,Dinner with aravind and buddies,491.0,Expense,,491.0,INR,491.0,2022-12-02 21:20:00,-491.0,Food,2022,12,Friday,2022-12,expense,491.0
2/12/2022 16:04,CUB - online payment,Household,,Mirror,70.0,Expense,,70.0,INR,70.0,2022-12-02 16:04:00,-70.0,Household,2022,12,Friday,2022-12,expense,70.0
2/12/2022 14:48,CUB - online payment,Food,,Lunch,80.0,Expense,,80.0,INR,80.0,2022-12-02 14:48:00,-80.0,Food,2022,12,Friday,2022-12,expense,80.0
2/12/2022 14:47,CUB - online payment,Other,,From dad,10000.0,Income,,10000.0,INR,10000.0,2022-12-02 14:47:00,10000.0,Other,2022,12,Friday,2022-12,income,10000.0
2/11/2022 22:41,CUB - online payment,Food,,Dinner with aravind,373.0,Expense,,373.0,INR,373.0,2022-11-02 22:41:00,-373.0,Food,2022,11,Wednesday,2022-11,expense,373.0
2/10/2022 20:15,CUB - online payment,Food,,Kfc dinner,641.0,Expense,,641.0,INR,641.0,2022-10-02 20:15:00,-641.0,Food,2022,10,Sunday,2022-10,expense,641.0
2/8/2022 10:37,CUB - online payment,Other,,From dad,1000.0,Income,,1000.0,INR,1000.0,2022-08-02 10:37:00,1000.0,Other,2022,8,Tuesday,2022-08,income,1000.0
2/8/2022 9:18,CUB - online payment,Household,,Bean bag,2099.0,Expense,,2099.0,INR,2099.0,2022-08-02 09:18:00,-2099.0,Household,2022,8,Tuesday,2022-08,expense,2099.0
